date,price,type,Continuous-target,class-target
13/03/2017,237.62,open,0.18,1
13/03/2017,237.8,close,-0.62,0
14/03/2017,237.18,open,-0.24,0
14/03/2017,236.94,close,0.62,1
15/03/2017,237.56,open,1.32,1
15/03/2017,238.88,close,0.23,1
16/03/2017,239.11,open,-0.62,0
16/03/2017,238.49,close,-0.74,0
17/03/2017,237.75,open,-0.6492,0
17/03/2017,237.1008,close,-0.0708,0
20/03/2017,237.03,open,-0.29,0
20/03/2017,236.74,close,0.73,1
21/03/2017,237.47,open,-3.71,0
21/03/2017,233.76,close,0.01,1
22/03/2017,233.77,open,0.48,1
22/03/2017,234.25,close,-0.25,0
23/03/2017,234,open,-0.06,0
23/03/2017,233.94,close,0.44,1
24/03/2017,234.38,open,-0.5,0
24/03/2017,233.88,close,-1.95,0
27/03/2017,231.93,open,1.645,1
27/03/2017,233.575,close,-0.305,0
28/03/2017,233.27,open,1.99,1
28/03/2017,235.26,close,-0.27,0
29/03/2017,234.99,open,0.57,1
29/03/2017,235.56,close,-0.09,0
30/03/2017,235.47,open,0.7992,1
30/03/2017,236.2692,close,-0.3692,0
31/03/2017,235.9,open,-0.22,0
31/03/2017,235.68,close,0.12,1
03/04/2017,235.8,open,-0.43,0
03/04/2017,235.37,close,-0.37,0
04/04/2017,235,open,0.52,1
04/04/2017,235.52,close,0.74,1
05/04/2017,236.26,open,-1.5,0
05/04/2017,234.76,close,0.18,1
06/04/2017,234.94,open,0.43,1
06/04/2017,235.37,close,-0.22,0
07/04/2017,235.15,open,0.02,1
07/04/2017,235.17,close,0.19,1
10/04/2017,235.36,open,-0.07,0
10/04/2017,235.29,close,-0.39,0
11/04/2017,234.9,open,0.13,1
11/04/2017,235.03,close,-0.29,0
12/04/2017,234.74,open,-0.5992,0
12/04/2017,234.1408,close,-0.5008,0
13/04/2017,233.64,open,-1.08,0
13/04/2017,232.56,close,0.55,1
17/04/2017,233.11,open,1.46,1
17/04/2017,234.57,close,-0.85,0
18/04/2017,233.72,open,0.14,1
18/04/2017,233.86,close,0.66,1
19/04/2017,234.52,open,-1.03,0
19/04/2017,233.49,close,0.66,1
20/04/2017,234.15,open,1.15,1
20/04/2017,235.3,close,-0.05,0
21/04/2017,235.25,open,-0.66,0
21/04/2017,234.59,close,2.59,1
24/04/2017,237.18,open,-0.02,0
24/04/2017,237.16,close,0.75,1
25/04/2017,237.91,open,0.61,1
25/04/2017,238.52,close,-0.01,0
26/04/2017,238.51,open,-0.07,0
26/04/2017,238.44,close,0.33,1
27/04/2017,238.77,open,-0.1699,0
27/04/2017,238.6001,close,0.2999,1
28/04/2017,238.9,open,-0.78,0
28/04/2017,238.12,close,0.56,1
01/05/2017,238.68,open,-0.05,0
01/05/2017,238.63,close,0.21,1
02/05/2017,238.84,open,-0.08,0
